Songtitel;Zuletzt_gespielt;Anzahl_gespielt;Reifegrad;Kommentar;Tags;Must_Play
These Days;05/08/2025;16;3;;;FALSE
Times Like These;05/08/2025;2;5;;;FALSE
Arlandria;05/08/2025;3;5;;;FALSE
Bridge Burning;05/08/2025;4;5;;;FALSE
Monkey Wrench;05/08/2025;3;5;;;FALSE
The Pretender;05/08/2025;3;5;;;FALSE
DOA;05/08/2025;2;5;;;FALSE
Saint Cecilia;08/05/2025;2;5;;;FALSE
No son of mine;05/08/2025;2;5;;;FALSE
Something from nothing;05/08/2025;2;5;;;FALSE
Breakout;05/08/2025;1;5;;;FALSE
Run;08/05/2025;18;5;;;FALSE
Let It Die;08/05/2025;4;5;;;FALSE
Walk;08/05/2025;4;5;;;FALSE
All My Life;08/05/2025;17;5;;;FALSE
Cold Day In The Sun;10/05/2025;3;5;;;FALSE
Long Road To Ruin;12/05/2025;18;5;;;FALSE
Best Of You;12/05/2025;15;5;;;FALSE
Nothing at all;12/05/2025;11;5;;;FALSE
Hey Johnny Park;12/05/2025;16;5;;;FALSE
Learn To Fly;05/08/2025;14;6;;;FALSE
Everlong;05/08/2025;4;6;;;FALSE
Outside;05/08/2025;13;7;;;FALSE
My Hero;05/08/2025;1;8;;;FALSE
Dear Rosemary;05/08/2025;17;10;;;FALSE
